"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.07022 0.6865 0.8084
0.07031 0.6859 0.8109
0.07041 0.6859 0.8103
0.07050 0.6846 0.8083
0.07060 0.6865 0.8084
0.07069 0.6859 0.8103
0.07078 0.6846 0.8102
0.07088 0.6865 0.8097
0.07097 0.6859 0.8084
0.07107 0.6859 0.8103
0.07116 0.6846 0.8096
0.07126 0.6865 0.8084
0.07135 0.6859 0.8090
0.07144 0.6859 0.8097
0.07154 0.6852 0.8102
0.07163 0.6859 0.8084
0.07173 0.6859 0.8097
0.07182 0.6846 0.8102
0.07192 0.6865 0.8090
0.07201 0.6846 0.8084
0.07211 0.6871 0.8084
0.07220 0.6852 0.8115
0.07229 0.6859 0.8097
0.07239 0.6859 0.8084
0.07248 0.6846 0.8083
0.07258 0.6865 0.8103
0.07267 0.6859 0.8103
0.07277 0.6859 0.8084
0.07286 0.6852 0.8102
0.07295 0.6859 0.8084
0.07305 0.6846 0.8097
0.07314 0.6871 0.8097
0.07324 0.6852 0.8102
0.07333 0.6859 0.8084
0.07343 0.6846 0.8090
0.07352 0.6865 0.8096
0.07362 0.6859 0.8097
0.07371 0.6859 0.8103
0.07380 0.6859 0.8084
0.07390 0.6858 0.8090
0.07399 0.6852 0.8109
0.07409 0.6859 0.8084
0.07418 0.6858 0.8090
0.07428 0.6852 0.8097
0.07437 0.6846 0.8103
0.07446 0.6859 0.8097
0.07456 0.6865 0.8083
0.07465 0.6846 0.8090
0.07475 0.6871 0.8103
0.07484 0.6852 0.8097
0.07494 0.6871 0.8083
0.07503 0.6846 0.8097
0.07513 0.6846 0.8103
0.07522 0.6871 0.8083
0.07531 0.6852 0.8103
0.07541 0.6846 0.8084
0.07550 0.6865 0.8103
0.07560 0.6858 0.8096
0.07569 0.6846 0.8090
0.07579 0.6871 0.8084
0.07588 0.6852 0.8096
0.07597 0.6859 0.8097
0.07607 0.6859 0.8103
0.07616 0.6852 0.8090
0.07626 0.6871 0.8083
0.07635 0.6846 0.8109
0.07645 0.6846 0.8090
0.07654 0.6871 0.8097
0.07664 0.6852 0.8083
0.07673 0.6859 0.8103
0.07682 0.6852 0.8097
0.07692 0.6846 0.8083
0.07701 0.6871 0.8090
0.07711 0.6846 0.8097
0.07720 0.6865 0.8103
0.07730 0.6871 0.8083
0.07739 0.6846 0.8097
0.07748 0.6852 0.8090
0.07758 0.6858 0.8102
0.07767 0.6859 0.8097
0.07777 0.6859 0.8097
0.07786 0.6852 0.8084
0.07796 0.6858 0.8102
0.07805 0.6859 0.8084
0.07815 0.6852 0.8090
0.07824 0.6858 0.8096
0.07833 0.6859 0.8103
0.07843 0.6846 0.8097
0.07852 0.6865 0.8090
0.07862 0.6858 0.8096
0.07871 0.6859 0.8084
0.07881 0.6859 0.8097
0.07890 0.6852 0.8103
0.07899 0.6858 0.8102
0.07909 0.6859 0.8071
0.07918 0.6852 0.8097
0.07928 0.6858 0.8102
0.07937 0.6846 0.8103
0.07947 0.6865 0.8084
0.07956 0.6871 0.8084
0.07966 0.6846 0.8109
0.07975 0.6859 0.8103
0.07984 0.6859 0.8084
0.07994 0.6852 0.8083
0.08003 0.6846 0.8103
0.08013 0.6871 0.8084
0.08022 0.6852 0.8103
0.08032 0.6846 0.8083
0.08041 0.6871 0.8103
0.08050 0.6852 0.8097
0.08060 0.6859 0.8097
0.08069 0.6858 0.8090
0.08079 0.6852 0.8097
0.08088 0.6871 0.8090
0.08098 0.6846 0.8083
0.08107 0.6846 0.8109
0.08117 0.6871 0.8084
0.08126 0.6852 0.8090
0.08135 0.6858 0.8102
0.08145 0.6859 0.8097
0.08154 0.6852 0.8097
0.08164 0.6858 0.8083
0.08173 0.6846 0.8090
0.08183 0.6865 0.8103
0.08192 0.6871 0.8097
0.08201 0.6846 0.8083
0.08211 0.6852 0.8103
0.08220 0.6871 0.8084
0.08230 0.6834 0.8097
0.08239 0.6858 0.8102
0.08249 0.6865 0.8097
0.08258 0.6859 0.8090
0.08268 0.6858 0.8096
0.08277 0.6859 0.8084
0.08286 0.6852 0.8103
0.08296 0.6871 0.8084
0.08305 0.6846 0.8102
0.08315 0.6852 0.8103
0.08324 0.6871 0.8084
0.08334 0.6846 0.8083
0.08343 0.6859 0.8109
0.08353 0.6852 0.8090
0.08362 0.6859 0.8097
0.08371 0.6858 0.8083
0.08381 0.6852 0.8103
0.08390 0.6846 0.8103
0.08400 0.6871 0.8078
0.08409 0.6858 0.8090
0.08419 0.6852 0.8103
0.08428 0.6859 0.8097
0.08437 0.6858 0.8096
0.08447 0.6859 0.8084
0.08456 0.6852 0.8103
0.08466 0.6859 0.8090
0.08475 0.6858 0.8096
0.08485 0.6852 0.8084
0.08494 0.6846 0.8103
0.08504 0.6871 0.8083
0.08513 0.6852 0.8103
0.08522 0.6859 0.8097
0.08532 0.6859 0.8097
0.08541 0.6858 0.8090
0.08551 0.6865 0.8097
0.08560 0.6846 0.8090
0.08570 0.6859 0.8097
0.08579 0.6858 0.8096
0.08588 0.6852 0.8090
0.08598 0.6846 0.8097
0.08607 0.6871 0.8090
0.08617 0.6852 0.8084
0.08626 0.6871 0.8109
0.08636 0.6846 0.8090
0.08645 0.6852 0.8096
0.08655 0.6871 0.8090
0.08664 0.6846 0.8097
0.08673 0.6852 0.8102
0.08683 0.6871 0.8084
0.08692 0.6846 0.8084
0.08702 0.6846 0.8103
